식품명,에너지,단백질,지방,탄수화물,1회제공량
에쓰푸드 잠봉 샌드위치,505.0,16.0,29.0,45.0,465.0
에햄돈까스샌드위치,540.0,22.0,20.0,67.0,171.0
오리지널치킨버거,511.0,7.0,27.0,60.0,179.0
월도프 더블 스테이크버거,579.0,16.0,39.0,41.0,185.0
장군소고기버거,635.0,31.0,33.0,52.0,241.0
제주항공)기내식샌드위치,520.0,16.0,24.0,60.0,228.0
치즈불고기버거,590.0,19.0,32.0,57.0,219.0
치즈폭탄버거,549.0,29.0,28.0,45.0,195.0
치킨마요롱롱버거,584.0,19.0,28.0,64.0,196.0
치킨시저 더블 스테이크버거,553.0,18.0,37.0,37.0,175.0
케이준치킨버거,570.0,20.0,23.0,71.0,243.0
크래프트 핑크블라썸 샌드위치,564.0,10.0,32.0,59.0,160.0
통다리살치킨버거,528.0,16.0,24.0,62.0,247.0
통살치킨버거,585.0,26.0,36.0,39.0,193.0
통새우버거,565.0,11.0,44.0,26.0,162.0
통새우불고기버거,520.0,19.0,29.0,46.0,195.0
트리플 불고기 치즈버거,698.0,23.0,46.0,48.0,220.0
트리플소시지버거,617.0,19.0,37.0,52.0,281.0
트리플치즈버거,584.0,29.0,28.0,54.0,236.0
패스츄리맛살샐러드샌드위치,608.0,10.0,34.0,66.0,155.0
포크 커틀릿 샌드위치,556.0,26.0,26.24,54.0,206.0
한입쏙미니버거,545.0,17.0,26.0,62.0,265.0
후라이드통살치킨버거,600.0,13.0,46.0,33.0,185.0
