식품명,에너지,단백질,지방,탄수화물,1회제공량
우영 들기름,900,0,100,0,100.0
옛날 교자만두,177.3,6.9,6.5,22.9,100.0
대구전통 납작만두,182,5.4,4.8,29.3,100.0
서원 교자만두,3240,108,126,423,1350.0
밴쯔 덤플링,970,36,36,122,510.0
맛가득 청아 물만두,200,9,7,25,100.0
매콤 고추잡채만두,195,8,8,23,65.0
남양 요구르트,30,1,0,7,65.0
비피더스 사과,60,2.1,0.5,12,140.0
통 롤카스테라,310,7,3.5,63,100.0
맛있는우유GT 깔끔한 저지방,42,3,1.3,4.5,100.0
비타요구,15,0,0,3.5,65.0
잼있는 쨈마을 짜먹는 포도잼,251,1,0,62,260.0
잼있는 쨈마을 짜먹는 딸기잼,248,0,0,61,260.0
비비고 사골곰탕,20,2,1.2,0,300.0
맛뜨락 참기름,900,0,100,0,100.0
참기름,890,0,99,0.7,320.0
홈런볼 초코,180,2,12,16,146.0
조지아 고티카 콜드브루 카페 라떼,109,2,4.1,16,265.0
조지아 고티카 콜드브루 스위트 아메리카노,47,0.7,0,11,265.0
칸타타 카페모카,150,4,1.8,29,250.0
칸타타 카라멜 마키아토,145,4,1.8,28,250.0
리얼브루 드립 라떼,170,4.7,5.6,25,250.0
로스팜,75,4,6,1,30.0
롯데햄 포크 런천미트,315,12,30,5,100.0
해표 요리백미 고추맛 기름,900,0,100,0,100.0
사조 닭다리 삼계탕,680,48,42,28,520.0
헛개 컨디션,50,2,0,11,100.0
불고기햄 슬라이스,235,12,15,13,100.0
스마트햄,213,10,13,14,100.0
바나나우유,150,4.6,4.2,23,225.0
남양 아이꼬야 이온케어,52,0,0,13,120.0
아이꼬야 유기농 베이비주스 사과포도,50,0,0,12,120.0
강훈 yogurt,74,3,3.4,8,100.0
납작 손만두,125,6,0,25,100.0
사골곰탕,130,22,4.5,0,500.0
옳은 유기농 우유,75,4,4.4,5.4,120.0
강훈목장 구워먹는 그릴치즈,77,5,5.8,1,30.0
대가야 참지기 유기 딸기쨈,58,0,0,14,20.0
재미인잼 파프리카,700,0,0,70,100.0
재미인잼 아로니아베리,625,0,0,62,100.0
하우스베리 생쨈,69,0.2,0,16.6,20.0
유기딸기잼,270,2,0,66,100.0
대가야 참지기 유기 토마토쨈,60,0,0,15,20.0
유기농 딸기잼,1710,6,0.6,420,600.0
초록원 유기농 딸기잼,55,0,0,14,20.0
하회탈 초콜릿 탈놀이,700,4,46,66,120.0
그려봐 짜먹는 초코렛,160,1,9,18,27.0
린세븐 다이어트 프로틴 쉐이크 녹차맛,93.9,10,1.1,11,25.0
린세븐 다이어트 프로틴 쉐이크 코코아맛,93,10,1,11,25.0
욜로 프로 자색고구마,332,36,4.2,38,85.0
욜로 프로 바나나,338,34,5,40,85.0
칼로리 바란스 과일,325,6,10,53,76.0
홍삼 초코봉봉,56,0,3,7,13.0
초코쥬베,40,0,0,8,10.0
종가반상 진한 한우곰탕,80,7,6,0,500.0
매생이 삼계탕,1090,79,40,103,900.0
롯데햄 라퀴진 로스트햄,225,16,15,5,100.0
존쿡델리미트 스모크브랏,225,12,19,0.9,80.0
존쿡델리미트 브랏부어스트,240,11,21,2,80.0
벨라유 플레인 포션치즈,55,3,4.8,0,15.0
웰메이드 고칼슘 체다,50,3,4,0,18.0
바닐라 아이스크림,224,3.9,15.2,17.9,100.0
체리마루,120,2,4.8,17,100.0
착한들 한우 소머리곰탕,105,18,3.7,0,250.0
옛날 꼬리곰탕,120,19,4.9,0,500.0
