식품명,에너지,단백질,지방,탄수화물,1회제공량
진간장 에스(진간장 S),60.0,7,0,7,100.0
삼양진간장,31.0,6,0,2,100.0
삼화맑은국간장,39.0,7,0,3,100.0
진간장 금S,60.0,7,0,7,100.0
몽고간장 순,2.0,0,0,0,5.0
신송진간장프리미엄,45.0,6,0,5,100.0
매일맛있는진간장,3.0,0,0,0,5.0
옹가네진S간장,48.0,7,0,5,100.0
몽고간장 진,2.0,0,0,0,5.0
몽고진간장 진품,30.0,5,0,4,100.0
삼화맛간장,48.0,9,0,3,100.0
삼화불고기간장,40.0,6,0,3,100.0
옹가네진품간장,48.0,6,0,6,100.0
삼화순간장,35.0,6,0,2,100.0
몽고간장 진,2.0,0,0,0,5.0
진간장 ,68.0,9,0,8,100.0
국간장,60.0,8,0,7,100.0
오복간장(진간장),37.0,6,0,3,5.0
몽고간장 국,846.0,6,1,4,100.0
국간장 덕용,50.0,6,0,5,100.0
서브큐 참진간장,45.0,6,0,5,100.0
오복간장(청표),39.0,6,0,3,5.0
몽고간장 송표,1386.0,7,0,12,100.0
참진한 진간장S,50.0,7,0,5,100.0
국간장,30.0,5,0,2,100.0
매일맛있고순한진간장,3.0,0,0,0,5.0
성심진간장,2.0,0,0,0,5.0
신송국간장,40.0,6,0,4,100.0
혼합간장,37.0,7,0,2,100.0
오복 향이 좋은 덕용 진간장,29.0,5,0,2,100.0
몽고간장 1급,1440.0,6,0,13,100.0
삼화알뜰간장,45.0,6,0,5,100.0
국간장,48.0,7,0,5,100.0
조림간장,110.0,8,0,14,100.0
오복간장(금표),40.0,6,0,3,100.0
몽고간장 진플러스,6110.0,6,0,6,100.0
무침간장,2.0,0,0,0,5.0
오뚜기국간장,45.0,6,0,5,100.0
범일불간장,80.0,8,0,12,100.0
참진한 진간장,55.0,6,1,6,100.0
참진한 국간장,50.0,6,1,4,100.0
콩간장,36.0,6,0,2,100.0
콩간장 골드,49.0,8,1,3,100.0
옹가네요리진간장,68.0,7,0,10,100.0
몽고간장 국,2.0,0,0,0,5.0
정성가득 진간장,55.0,6,0,7,100.0
하나로매일진간장,5.0,0,0,0,5.0
양지뜰국간장,53.0,6,0,6,100.0
삼화진간장플러스,53.0,8,0,5,100.0
골드 콩간장,49.0,8,1,3,100.0
옹가네불간장,48.0,7,0,5,100.0
범일진간장,80.0,8,0,13,100.0
오복맛이좋은덕용진간장,35.0,5,0,3,5.0
몽고간장 진골드,3.0,0,0,0,5.0
해표옹가네진간장,61.0,7,0,8,100.0
옹가네조림간장,100.0,9,0,16,100.0
델가 진간장,50.0,5,0,5,100.0
범일간장,100.0,8,0,18,100.0
동해진간장,37.0,6,0,3,100.0
옹가네맑은국간장,64.0,6,0,10,100.0
오복향이좋은덕용국간장,33.0,6,0,2,5.0
소박한진간장,55.0,8,0,5,100.0
진간장골드,44.0,6,1,4,100.0
베이시스 진간장,50.0,5,0,5,100.0
옹가네다시마간장,62.0,8,0,8,100.0
베스트코 참진간장,50.0,7,0,6,100.0
정성가득 국간장,30.0,7,0,1,100.0
해표진간장,65.0,8,0,8,100.0
몽고간장 1급,4.0,0,0,1,5.0
진미간장골드,3.0,1,0,0,5.0
오복 순 진간장,33.0,6,0,2,5.0
오복진맛간장,39.0,6,0,3,5.0
한정성 진간장,53.0,5,1,7,100.0
신선도원 진간장,55.0,6,0,7,100.0
국간장,31.0,5,0,3,100.0
하나로매일다시마간장,5.0,0,0,0,5.0
맛간장,39.0,5,0,4,100.0
립톤 아이스티믹스 복숭아맛(Lipton Ice Tea Mix Peach),400.0,0,0,99,100.0
"호두,아몬드,율무차",85.0,3,2.9,12,18.0
네스티 복숭아맛 아이스티,48.0,0,0,12,12.0
"호두,아몬드,율무차(컵)",95.0,3,3.2,13,20.0
립톤 아이스티믹스 레몬맛(Lipton Ice Tea Mix Lemon),400.0,0,0,99,100.0
콘후레이크천마차,70.0,0,0,16,20.0
티오아이스티복숭아맛,50.0,0,0,13,13.0
"잣,호두,율무차",80.0,1,2.5,13,18.0
생강차플러스,60.0,0,0.5,14,15.0
쌍화차플러스,65.0,2,1.1,12,15.0
궁중한차,70.0,0,0.5,16,18.0
아몬드잣호두율무차,80.0,1,2.4,14,18.0
콘푸레이크포테이토마차,90.0,1,1.7,17,22.0
대추차플러스,60.0,0.6,0.6,14,15.0
단호박.마차,75.0,0,2.5,13,17.0
복숭아홍차(자동판매기용),74.0,0,0,16,18.0
복숭아 홍차,55.0,0,0,14,14.0
호두 아몬드 율무차,79.0,1,2.1,13.9,18.0
호두.아몬드.마.밤.율무차,85.0,2,3,12,18.0
고려원인삼차,11.7,0,0,2.85,3.0
타코복숭아맛아이스티,159.0,0,0,40,40.0
복숭아홍차,55.0,0,0,14,14.0
모카복숭아맛홍차,401.0,0.31,0.91,97.96,100.0
Homeplus 호두 아몬드 잣 율무차,85.0,1,1.7,16,18.0
굿모닝 실큐 천마차,75.0,0.7,0,18,20.0
콘플레이크 온가족 천마차,85.0,0.7,1.8,16,20.0
호두아몬드율무차,75.0,1,1.4,14,18.0
호두아몬드율무차(TEA),73.7,1.3,1.1,14,18.0
립톤아이스티믹스 망고맛(Lipton Ice Tea Mix Mano),56.0,0,0,14,14.0
호두아몬드율무차,80.0,1,1.7,15,20.0
생강차(자동판매기용),68.0,0,0,17,18.0
티오 아이스티 레몬맛,50.0,0,0,13,13.0
레몬 홍차,40.0,0,0,10,14.0
생강한차,75.0,0,0,18,18.0
시리얼 귀리 호박차,82.0,1,1.5,16,20.0
고향율무차,70.0,1,1,14,17.0
콘플레이크아몬드천마차,85.0,0.7,0.7,20,22.0
"아몬드,호두,율무차",80.0,1,2.5,13,18.0
한차,65.0,0,1.1,13,15.0
매일매일 으라차차 귀리 아몬드  율무차,100.0,1,4,17,20.0
"후디스 호두,아몬드, 해바라기, 잣 율무차",74.0,1,2,13,18.0
티오 아이스티 블루베리맛,50.0,0,0,13,13.0
어니스트피노 복숭아맛 아이스티,3795.0,18,0,40,40.0
"호두,아몬드,율무차",85.0,3,2.9,13,20.0
제나차,27.9,0.4,0.1,6.2,10.0
리가로 호두율무차,89.0,2,3.8,11.6,18.0
인삼차,11.16,0,0,2.76,3.0
시리얼 홍삼 천마차,70.0,0.7,0,18,20.0
쌍화차,50.0,0,0,12,13.0
쌀눈이 들어 있는 호두아몬드율무차,75.0,1,1.4,15,18.0
시리얼귀리안동참마차,83.0,1,1.5,16,20.0
고소한 맛이 살아있는 율무차,405.0,5,4.6,85,100.0
콘플레이크 천마밀,85.0,0.7,1.9,16,100.0
콘프레이크천마차,85.0,0,1.7,17,20.0
고향천마차,75.0,1,1.4,15,18.0
아몬드호두율무차,88.0,2,4,11,18.0
립톤 티앤허니 아이스티 복숭아맛,40.0,0,0,10,10.0
후디스 건양밀,68.2,1,1.8,12,18.0
복숭아 허니 블랙티,53.0,0,0,13,13.0
힐링타임 아이스티 복숭아맛,55.0,0,0,14,14.0
오미자차,40.0,0,0,10,10.0
호두아몬드마차,60.0,0,1.1,12,15.0
자몽 허니 블랙티,53.0,0,0,13,13.0
매일매일 으라차차 귀리 안동참마차,80.0,1,1.1,17,20.0
유자차(자동판매기용),73.0,0,1,15,18.0
유기가루녹차,4.0,0,0,0.7,1.0
까로망 녹차라떼 파우더,117.0,0,0,28,30.0
레몬홍차,55.0,0,0,14,14.0
생강차골드,50.0,0,0,12,13.0
고향 쑥차,70.0,0,0.9,15,18.0
시리얼 귀리 오곡들깨차,80.0,1,1.5,16,20.0
천마차,89.0,1,2,17,21.0
쌍화차골드,50.0,0,0,12,13.0
원두밀차,410.0,2,5.4,87,100.0
우리 쌀 시리얼 믹스 천마차,82.0,0.7,2.5,14,18.0
복숭아홍차,57.0,0,0.3,13.5,14.0
매실차,50.0,0,0,12,12.0
아몬드호두율무차,85.0,2,3.3,12,18.0
시리얼 단호박 천마차,80.0,0,1.2,16,20.0
대추한차,65.0,0,0,16,18.0
호두 아몬드 율무차,79.38,1.79,2.14,13.24,18.0
도라지 생강차,58.0,0,0.8,13,14.0
보양밀,390.0,0,61,84,100.0
복숭아홍차,55.0,0,0,14,14.0
생강차,60.0,0,0,14,15.0
검정콩곡물차(자동판매기용),74.0,0,1,12,18.0
매실차(자동판매기용),75.0,0,0,17,18.0
석류차,555.0,0,0,14,14.0
생강차,54.9,0.2,0,13.5,15.0
시원한 천마차,80.0,0.7,1.3,17,20.0
호두아몬드곡물라떼,73.0,1,1,15,18.0
고소쌈장,40.0,2,1.1,5,15.0
청정원 만능비빔장,45.0,0.7,0.5,9,18.0
청정원 햇살담은 맑은 청간장 국찌개용,65.0,7,0,9,100.0
청정원 만능볶음장,595.0,0.7,0,8,18.0
Topokki Hot Sauce(떡볶이고추장),520.0,0,0,9,16.0
홍쌍리 청매실고추장,40.0,0,1,9,20.0
Bibimbab Hot Sauce(비빔밥고추장),375.0,0,0.5,6,14.0
옛맛뚝배기조림간장,11.0,0.3,0,2.5,10.0
띄운밀,375.5,14.1,1.9,75.5,100.0
옛맛뚝배기 들푸래간장,5.0,0.6,0,0.7,10.0
재래식진간장,13.0,0.5,0,2.7,10.0
삼화맛짜장,177.0,13,1.1,29,100.0
진미춘장,180.0,12,3.5,25,100.0
진미춘장,177.0,14,3.7,22,100.0
신송춘장,165.0,9,2.5,27,100.0
맛춘장,149.4,12.2,1.4,22,10.0
청정원맛있는중화춘장,35.0,2,0.5,6,18.0
맛있는 진미 춘장,170.0,11,2.7,26,100.0
춘장,157.0,11,1,8,15.0
중찬명가 양파애 홀춘장,170.0,8,2,30,100.0
진미 하오츠 춘장,180.0,12,3.5,25,100.0
맛드림우리밀춘장,153.0,9,5,17,100.0
돼지표춘장,213.0,9,1,42,100.0
중화요리 춘장,157.0,11,1,26.5,15.0
정성가득춘장,165.0,9,2.5,27,100.0
진미 우리쌀 춘장,150.0,8,1.8,25,100.0
진미춘장 불맛,260.0,11,12,27,100.0
체다슬라이스치즈,65.0,0,0,0.6,20.0
칼로리바란스,325.0,6,10,53,76.0
이플 찢어먹는 치즈,80.0,0,0,2,20.0
스페셜K 고구마 & 바나나,156.0,6,2.4,29,40.0
서울체다 슬라이스 치즈 1800 멀티,60.0,0,0,1,18.0
아이사린쉐이크 초콜릿향(IsaLean Shake Chocolate flavor),230.0,24,4.5,21,60.0
모짜렐라치즈AR,60.0,0,0,2,20.0
칼로리바란스과일,325.0,6,10,53,76.0
서울 체다 슬라이스치즈 1800 멀티Ⅱ,60.0,0,0,0.7,18.0
애터미 슬림바디 쉐이크 그레인,201.0,18,1,32,55.0
아이사린쉐이크 바닐라향(IsaLean Shake Vanilla flavor),230.0,24,4.5,21,60.0
아이사린쉐이크 딸기향(IsaLean Shake Strawberry flavor),230.0,24,4.5,21,60.0
체다치즈 클래식,50.0,0,0,1,17.0
린 컴플리트,100.0,12,1.1,8,30.0
자연방목치즈 체다슬라이스,60.0,0,0,0.7,17.0
스페셜K 뉴트리핏 살구&크랜베리,147.0,5.5,1.2,30,40.0
남양 로젠하임 피자치즈 NU90C,60.0,0,0,0.7,20.0
쉐이크 녹차맛,107.0,15,0,13,33.0
모짜렐라치즈 E,58.42,0,0,0.13,20.0
다밀 오곡맛,190.0,12,1,33,50.0
이스트밸리 슈레드치즈,60.0,0,0,0.7,20.0
쉐이크 바닐라맛,115.0,15,1,13,33.0
소와나무 이태리안피자치즈,60.0,0,0,0.7,20.0
52뉴트리션 다이어트베이스 초코맛,82.0,0,0.66,7,25.0
바이오화이버,95.0,6,1.4,17,30.0
소와나무 슬라이스치즈,60.0,0,0,1,20.0
애터미 슬림바디 쉐이크 그린티,202.0,17,1.2,32,55.0
인포켓치즈 오리지널,65.0,0,0,0.7,20.0
다밀 고구마맛,230.0,6.5,2,38,55.0
고칼슘치즈,60.0,0,0,0.7,18.0
밸런스 쉐이크 홀그레인,145.0,12,1.7,23,40.0
슈레드모짜렐라,300.0,0,0,5,100.0
라이트앤이지밀,115.0,7,0.7,20,30.0
리치 골드 모짜렐라 슈레드,302.0,0,0,0,100.0
투에니포 뉴트리 다이어트 쉐이크 초코맛,90.0,8,0,14,25.0
닥터스에스 플러스,150.0,9,0,27,45.0
펠렛치즈,62.0,0,0,2,20.0
트루플레니쉬™ 바닐라향(TRUPLENISH™ VANILLA FLAVOR),165.0,20,2.5,16,45.0
킹치즈 (H),318.0,0,0,0.7,100.0
애터미 밸런스라이프,95.0,11,1,11,25.0
멀티팩 슈레드모짜렐라,300.0,0,0,5,100.0
다밀 허니바닐라맛,195.0,11,1.7,34,50.0
짜지않은 치즈,60.0,0,0,0,18.0
HOPE 발효효소 밸런스밀 블랙,120.0,12,1.8,14,30.0
리얼 체다 슬라이스,55.0,0,0,0.7,18.0
HOPE 발효효소 밸런스밀 화이트,120.0,11,1.5,16,30.0
모짜렐라치즈 EF,58.42,0,0,0.13,20.0
쉐이크 초콜릿맛,125.0,15,1.5,13,33.0
트루플레니쉬™ 초콜렛향(TRUPLENISH™ CHOCOLATE FLAVOR),160.0,20,2.6,16,45.0
펠렛치즈O,320.0,0,0,6,100.0
뉴트리 디-데이 다이어트 리얼초코 쉐이크,85.0,8,1.3,13,25.0
덴마크모짜렐라치즈,60.0,0,0,0.7,20.0
맛있는 다이어트칩 소이,115.0,6,2.6,20,30.0
남양 드빈치 피자치즈,320.0,0,0,1.4,100.0
더슬림 다이어트도시락 곤약닭가슴살밥과 두부스테이크,334.0,16,8,50,236.0
드빈치 유기농 시작부터 아기치즈 1단계,55.0,0,0,0,18.0
더슬림 다이어트도시락 퀴노아곤약밥과 닭가슴살스테이크,310.0,17,3,53,216.0
킹치즈 모짜렐라 100,315.0,0,0,0.7,100.0
알쓰리 밸런스 바디 쉐이크,113.0,11,1,15,30.0
모짜렐라치즈,45.0,0,0,0,18.0
그린스무디다이어트,165.0,15,2.4,24,45.0
진심을 담은 부드러운 슈레드 모짜렐라치즈,65.0,0,0,0.7,20.0
더슬림 다이어트도시락 곤약고구마밥과 바싹불고기,380.0,16,11,53,226.0
펠렛치즈N,298.0,0,0,10,100.0
베네비타 쉐이크-잇!(Benevita shake-it !),130.0,9,0.7,23,30.0
서울 무색소 체다 슬라이스치즈 1800 멀티,60.0,0,0,0.7,18.0
라이트업 오리지날,155.0,6,0.6,31,40.0
난타피자치즈,340.0,0,0,1,100.0
골든 귀리 슬림 다이어트,168.0,7.3,3.1,27.7,40.0
더슬림 다이어트도시락 탄두리닭가슴살밥과 참치오믈렛,352.0,14,10,52,231.0
오대오(모짜),285.0,0,0,2,100.0
슬림플러스,10.0,5.5,0.6,30,40.0
킹치즈 모짜렐라100(F),325.0,0,0,2,100.0
HOPE 발효효소 밸런스밀 브라운,120.0,11,1.8,15,30.0
드빈치 유기농 튼튼탄탄 아기치즈 2단계,55.0,0,0,0,18.0
데일리단백질쉐이크 카페라떼,90.0,11,0,9,25.0
프레시 순 모짜렐라 치즈,60.0,0,0,0.7,20.0
뉴트리 디-데이 다이어트 호두아몬드쉐이크,90.0,8,1.5,13,25.0
서울우유 테이스티 치즈,55.0,0,0,1,18.0
더슬림 다이어트도시락 새우볶음밥과 토마토비프,350.0,16,11,48,241.0
소와나무 잘숙성된 슬라이스치즈,55.0,0,0,1,18.0
투에니포 뉴트리 다이어트 쉐이크 쿠키앤크림맛,90.0,8,0,15,25.0
네츄럴(X100),290.0,0,0,2,100.0
리뉴슬림 블루,170.0,10,3,24,40.0
이태리안 피자치즈 N60,60.0,0,0,0.7,20.0
데일리단백질쉐이크 초코,90.0,11,0,9,25.0
짜지않은 치즈 고칼슘&비타민,60.0,0,0,0,18.0
더슬림 다이어트도시락  다섯가지나물밥과 낙지볶음,307.0,15,8,44,229.0
구워먹는 치즈,70.0,0,0,1,20.0
더슬림 다이어트도시락 연근우엉밥과 치즈함박스테이크,387.0,15,13,53,236.0
마이바디다이어트 프로틴쉐이크(쿠키앤크림맛),30.0,11,1.3,15,30.0
사조오양 모짜렐라(K),320.0,0,0,2,100.0
굿발란스 시리얼바,125.0,5.5,3,17,30.0
킹치즈 U 모짜렐라 100,287.0,0,0,2,100.0
뉴트리 디-데이 다이어트 쿠키앤크림 쉐이크,85.0,8,0,0,25.0
앙팡 유기농 아기치즈 스텝1 180,60.0,0,0,0.3,18.0
뉴트리 디-데이 다이어트 카페라떼쉐이크,90.0,8,0,15,25.0
슈레드 모짜렐라 치즈,60.0,0,0,0.7,20.0
투에니포 뉴트리 다이어트 쉐이크 곡물맛,90.0,8,0,15,25.0
A-100,60.0,0,0,0.7,20.0
액티브디에스 프로,90.0,11,0.05,12,25.0
서울체다슬라이스치즈 900,60.0,0,0,0.3,18.0
뉴트리 디-데이 다이어트 쿠키앤크림 쉐이크,90.0,10,1.1,11,25.0
오′쉐프 모짜렐라치즈,55.0,0,0,0,200.0
듀썸헬씨 썸바디 엘에스(DOUXSUM HEALTHY SUMBODY LS),115.0,6,13,20,30.0
베이커리 슬라이스치즈,55.0,0,0,1.7,18.0
뉴트리 디-데이 다이어트 스트로베리요거트쉐이크,90.0,8,1.2,13,25.0
플래티넘귀리우유다이어트쉐이크,110.0,10,1.6,17,30.0
건국치즈,60.0,0,0,0.7,20.0
예감한끼,97.0,7,0.6,16,26.0
피자치즈,300.0,0,0,1,100.0
52뉴트리션 다이어트 베이스 커피맛,82.0,12,0.69,6.9,25.0
맛있는 슬라이스 치즈,60.0,0,0,0.72,18.0
라인 365,125.0,13,1.6,19,37.0
뼈에 쏙쏙 칼슘치즈,55.0,0,0,0,18.0
마이바디다이어트 프로틴쉐이크(밀크카카오맛),110.0,12,0.8,14,30.0
데일리자연치즈,55.0,0,0,2,20.0
마이바디다이어트 프로틴쉐이크(녹차라떼맛),110.0,12,0.9,14,30.0
롤치즈,75.0,0,0,1.2,20.0
뉴트리 디-데이 다이어트 멜론스윗 쉐이크,85.0,7,0,15,25.0
앙팡 유기농 아기치즈 스텝2 180,60.0,0,0,0.3,18.0
글램쉐이크자색고구마라떼맛,115.0,8,0.4,20,30.0
뽀로로가 좋아하는 칼슘왕 치즈,60.0,0,0,0.7,18.0
뉴트리 디-데이 다이어트 녹차라떼 쉐이크,85.0,8,0.5,14,25.0
드빈치 웰메이드 체다,55.0,0,0,1.5,18.0
뉴트리 디-데이 다이어트 체리앤베리베리쉐이크,90.0,8,1,13,25.0
건국치즈1,60.0,0,0,0.7,20.0
마이바디다이어트프로틴쉐이크(딸기앤쿠키맛),110.0,11,0.9,15,30.0
유가네자연치즈 체다믹스,325.0,0,0,0,100.0
맛있는 다이어트 쿠키 카카오,200.0,6,14,19,40.0
모짜렐라 슈레드 치즈,60.0,0,0,0.7,20.0
슬림톡 다이어트 오트,85.0,6.3,0,19,30.0
슬림톡 다이어트 깔라만시,95.0,5.5,0,21,30.0
어린이치즈 앙팡 180,60.0,0,0,0.3,18.0
지중해 다이어트에 빠지다,93.0,11,0.5,11,25.0
하모니 100(reen),310.0,0,0,1,100.0
맛있는 다이어트 쿠키,185.0,6,9,22,40.0
블렌드 쉬레드 치즈,65.0,0,0,2,20.0
바쁜언니 쉐이크잇(SHAKE EAT),210.0,15,1,34,54.0
드빈치 유기농 쑥쑥클때 어린이 치즈 3단계,55.0,0,0,0,18.0
헬스빌에너자임 다이어트 쉐이크믹스,86.0,11,0,0,25.0
지방을 줄인 고칼슘 치즈,45.0,0,0,1.5,18.0
마이바디다이어트 프로틴쉐이크 고구마맛,110.0,11.5,0.8,14.8,30.0
하모니55(F),295.0,0,0,3,100.0
데일리단백질쉐이크 바나나,90.0,11,0,9,25.0
치즈큐빅 플레인,22.0,0,0,0.1,18.0
먹고 빼고,115.0,7,4,7,30.0
체다슬라이스,60.0,0,0,0.7,18.0
마이바디다이어트 프로틴쉐이크(바나나앤쿠키맛),110.0,11,0.8,15,30.0
인스24 영양쉐이크 포뮬라1(곡물맛),95.0,11,0.7,11,25.0
하모니721,325.0,0,0,0.7,100.0
뉴본라이프 슬리밍 밀,110.0,8,0.7,16,30.0
NEW THE PIZZA,55.0,0,0,2,20.0
맛있는단백질 다이어트쉐이크 허니오트밀,90.0,10,0,12,25.0
애터미 임실 스트링치즈,65.0,0,0,0.7,20.0
투에니포 뉴트리 다이어트 쉐이크 딸기맛,91.0,8,0,15,25.0
쫄깃한 슈레드 모짜렐라 치즈,60.0,0,0,0.7,20.0
라이트 바 스윗 크리스피 넛츠,140.0,9,5,14,33.0
KIN 자연치즈,310.0,0,0,1,100.0
린퓨어카카오,235.0,21,5,30,61.0
펠렛치즈P,325.0,0,0,3,100.0
린퓨어슈퍼베리,200.0,24,0.6,32,61.0
구워먹는 치즈(퀘소블랑코),65.0,0,0,1.4,20.0
효소담다이어트효소식,105.0,8,1.3,17,30.0
냉동 펠렛치즈O,320.0,0,0,6,100.0
아임쉐이크곡물,105.0,6,1.3,20,30.0
냉동펠렛치즈 이코노 Ⅰ,55.0,0,0,1,20.0
마이바디다이어트 프로틴쉐이크(카페라떼맛),110.0,11,0.8,15,30.0
린 & 후르츠 & 화이버 쉐이크 곡물,230.0,21,4,28,60.0
서울우유 테이스티 치즈 270,55.0,0,0,1,18.0
데일리단백질쉐이크 녹차라떼,90.0,11,0,9,25.0
임실스트링치즈,65.0,0,0,0.7,20.0
데일리단백질쉐이크 딸기,90.0,11,0,9,25.0
에스 다이닝 그레인,260.0,14,0.5,22,40.0
파티쉐 슬라이스치즈,55.0,0,0,1.5,18.0
에스 다이닝 그린티,260.0,14,0.5,22,40.0
목우촌 리얼스트링치즈,60.0,0,0,0.7,20.0
에스 다이닝 쿠키앤크림,260.0,14,0.5,22,40.0
웰메이드 고칼슘 체다,50.0,0,0,0.7,18.0
마이바디다이어트 프로틴쉐이크 16곡 호두맛,110.0,12.6,1,13,30.0
하모니91,310.0,0,0,0.7,100.0
진짜 맛있는 다이어트 쉐이크 클래식 초코,95.0,9,1.3,12,25.0
고다슬라이스치즈,65.0,0,0,0.6,20.0
마이바디다이어트 프로틴쉐이크(단호박맛),110.0,12.6,1,13,30.0
오뚜기 슈레드 치즈 모짜렐라,215.0,0,0,1,70.0
뉴트리 디-데이 다이어트 바닐라 쉐이크,90.0,8,0.6,14,25.0
이플 늘려먹는 치즈,85.0,0,0,3.1,20.0
뉴트리 디-데이 다이어트 민트초코칩쉐이크,90.0,8,1,13,25.0
남양 치즈 사이에 두근두근 크림치즈,110.0,0,0,1.7,32.0
로사퍼시픽 커피쉐이크믹스,76.0,11,0,8,25.0
어린이치즈 앙팡 270,60.0,0,0,0.3,18.0
로사퍼시픽 초코쉐이크믹스,76.0,11,0,8,25.0
제이스 슈레드치즈,60.0,0,0,0.7,20.0
밀싹다이어트,90.0,5.5,1,17,25.0
앙팡치즈 까요까요 딸기,40.0,0,0,1.6,14.0
에프랩 탄탄 베리(VERY)스무디,110.0,6,0,22,30.0
서강툼바피자치즈,60.0,0,0,0,20.0
에프랩 촉촉 베리(VERY)스무디,110.0,6,0,22,30.0
명품골드 스트링치즈,240.96,0,0,3,100.0
에프랩 탱탱 베리(VERY)스무디,110.0,6,0,27,30.0
맛있는단백질 다이어트쉐이크 쿠키앤크림,90.0,10,0,12,25.0
서브큐내츄럴631피자치즈,316.0,0,0,6,100.0
하초 슬림 다이어트 쉐이크,95.0,9,0.8,13,25.0
모짜렐라치즈 W,274.0,0,0,5,100.0
에스티 7,155.0,11,1,29,46.0
라면 쏘옥 치즈,90.0,0,0,1,30.0
리핏 더블딥초코,115.0,11,1.4,16,30.0
임실 모짜렐라 슬라이스 치즈,60.0,0,0,0.7,20.0
인스24 영양쉐이크 포뮬라1(코코아맛),95.0,13,1,9,25.0
쉐프원 부드럽게 녹는 코트니 치즈,325.0,0,0,2,100.0
리핏 레드빈스윗,95.0,10,0.9,17,30.0
남양 치즈 사이에 두근두근 카야치즈,110.0,0,0,2.7,32.0
리핏 오트밀허니,110.0,10,1.6,17,30.0
실큐에버슬림쉐이크,110.0,14,0.8,12,30.0
하얀 체다가 송송,60.0,0,0,0.5,18.0
진짜 맛있는 다이어트쉐이크 호두아몬드,100.0,9,2.1,12,25.0
인포켓치즈 라이트,55.0,0,0,0.7,20.0
진짜 맛있는 다이어트쉐이크 딸기요거트,95.0,8,0.7,14,25.0
진짜 맛있는 다이어트쉐이크 카페라떼,100.0,9,1.3,13,25.0
범산목장 유기농 자연치즈 체다,119.0,0,0,2,30.0
아임쉐이크녹차라떼,100.0,6,1.6,20,30.0
앙팡 유기농 어린이치즈 스텝3 180,60.0,0,0,0.3,18.0
아임쉐이크스트로베리요거트,115.0,6,1.3,21,30.0
세븐베리슬림다이어트,90.0,7,0.7,15,25.0
냉동펠렛치즈,60.0,0,0,1,20.0
"비읍 비 밸런스, 균형 잡힌 한 끼 고구마",149.0,14,0,22,40.0
"비읍 비 밸런스, 균형 잡힌 한 끼 녹차",147.0,14,0,22,40.0
킹치즈 AD 모짜렐라 100,350.0,0,0,2,100.0
유산균슬림다이어트,95.0,6,1.2,15,25.0
보보스 스트링치즈,244.36,0,0,2,100.0
린앤핏-쉐이크,105.0,8,0.5,20,30.0
앙팡치즈 까요까요 플레인,35.0,0,0,0,14.0
헬스빌에너자임 다이어트쉐이크믹스(카페라떼맛),86.0,11,0,8,25.0
고다 치즈,350.0,0,0,0,100.0
오트라떼 다이어트 쉐이크,120.0,5.5,2,21,30.0
퍼블릭치즈,72.0,0,0,2.8,35.0
그리밀단백질쉐이크초코맛,90.0,10,0,12,25.0
덴마크 피자치즈,350.0,0,0,2,110.0
닥터리브 쉐이크 단호박고구마맛,90.0,12,0.1,10,25.0
뉴핏뉴트리다이어트쉐이크 초코라떼맛,103.0,6,2,15,25.0
남양 드빈치 피자치즈 mini,320.0,0,0,1.4,100.0
취나물밥&브로콜리닭가슴살큐브,335.0,16,4.8,57,222.0
레드체다치즈100,305.0,0,0,2,100.0
다섯가지나물밥&청양고추닭가슴살소시지,340.0,16,10,47,235.0
킹치즈 U 모짜렐라 100(F),287.0,0,0,2,100.0
닭가슴살필라프&불고기오믈렛,350.0,13,13,45,222.0
킹치즈 (P82),320.0,0,0,0,100.0
탄두리닭가슴살현미밥&두부스테이크,340.0,14,9,52,207.0
스윗 크림치즈,55.0,0,0,1,18.0
뉴핏뉴트리다이어트쉐이크 바나나라떼맛,102.0,6,2,16,25.0
엔젤스노우 모짜렐라(F),320.0,0,0,2,100.0
뉴핏뉴트리다이어트쉐이크 곡물라떼맛,106.0,7,3,14,25.0
남양 로젠하임 피자치즈 NU100,60.0,0,0,0.7,20.0
맛있는단백질 다이어트쉐이크 쇼콜라초코,90.0,10,0,12,25.0
킹치즈 UH 모짜렐라 100,330.0,0,0,3,100.0
뉴핏뉴트리다이어트쉐이크 쿠키앤크림,104.0,6,2,16,25.0
네츄럴(R00),405.0,0,0,2,100.0
아임쉐이크바나나,100.0,6,1.4,20,30.0
고메 스트링치즈,97.0,0,0,0.6,40.0
프로테라쉐이크,175.0,20,3.7,16,43.0
뉴핏뉴트리다이어트쉐이크 고구마라떼맛,102.0,6,2,15,25.0
임실생치즈,317.0,0,0,4,100.0
헬스빌 에너자임 다이어트 쉐이크믹스 쿠키앤크림요거트맛,86.0,11,0,8,25.0
뿌려먹고 녹여먹는 피자치즈,60.0,0,0,0.7,20.0
하루채움 영양쉐이크,97.0,9,1,13,25.0
덴마크 눈꽃치즈,75.0,0,0,0.7,25.0
이지웨이 다이어트 쉐이크 초코맛,96.0,0,1.2,8,25.0
베스트코 모짜렐라치즈,285.0,0,0,2,100.0
튼튼닷컴 다이어트쉐이크 녹차맛,100.0,8,1.1,14,25.0
코리원모짜렐라치즈,290.0,0,0,0,100.0
튼튼닷컴 다이어트쉐이크 초코맛,102.0,8,1.5,14,25.0
킹치즈 레드체다100,410.0,0,0,0,100.0
헛겔,15.0,0,0.07,3.5,10.0
삼아 모짜렐라 100,300.0,0,0,1,100.0
